context,date_time
抄底啊,06-20 10:04
牛气冲天,06-20 10:04
6.20号大盘:放量继续看涨,06-20 08:44
快破3000！,06-20 10:04
跌破3000点，也就稳了,06-20 10:04
34分钟主力资金流出了121亿元了,06-20 10:04
布林线开始窄口了！要变盘了,06-20 10:04
跌破3000，就是黄果树大瀑布美景,06-20 10:04
就是破了才加仓干,06-20 10:04
3000保卫又来了,06-20 10:04
三千点保卫战有开始了,06-20 10:04
跌破3000吧,06-20 10:04
破不破三千都没区别了，反正自己仓位亏得比2600都惨，守了3000小散也是亏，不,06-20 10:04
快点加速吧，别磨磨唧唧啦,06-20 10:04
[赞][赞][赞],06-20 10:04
3000点要破,06-20 10:04
又一次3000点保安战[拜神],06-20 10:04
大家猜一下，今天3000点能保住吗？我估计保不住！,06-20 10:04
破了。,06-20 10:04
大A我在800点等你下来,06-20 10:04
破了要破了，加油，不破不立！,06-20 10:04
大牛市要来了,06-20 10:04
坚决打好3000点保卫战,06-20 10:04
绝对要跌破三千后才会上涨三浪,06-20 10:04
3000点岌岌可危，到底破还是不破,06-20 10:04
2650,06-20 10:04
不破3000不加仓,06-20 10:04
[怒]#沪指屡屡迫近3000点，到底会不会破？#,06-20 10:04
内资主力半个钟又跑了一百多亿,06-20 10:04
几千股在跌配合破3000点#沪指屡屡迫近3000点，到底会不会破？#,06-20 10:04
内资半小时流出100多亿，吓唬！,06-20 10:04
快下来2930,06-20 10:04
三千点指日可待,06-20 10:04
破了3000抄底，必拉起！,06-20 10:04
破3000主力就赚大发了,06-20 10:04
赶紧加速破下去到2600[怒]在这磨磨唧唧才是最害人的,06-20 10:04
是不是要去2850呢？感觉有可能。,06-20 10:03
破3千点,06-20 10:03
100多点，磨了1个月，看怎么托吧。,06-20 10:03
今天也太爽了吧,06-20 10:03
$上证指数(SH000001)$,06-20 10:03
要破3000了,06-20 10:03
今天这样的走势真恶心人！！！！,06-20 10:03
A股这一波下跌，没有一点触底的样子，能跌破3000，就会像2900靠近,06-20 10:03
破不还破，影响散户亏钱了吗？#沪指屡屡迫近3000点，到底会不会破？#,06-20 10:03
每日要闻概览 | 20240620,06-20 10:03
周线死叉，先看2867,06-20 10:03
3000点保卫战又开始了,06-20 10:03
市场做空得利已经疯狂了，,06-20 10:03
破3000，必须的！！,06-20 10:03
开始了,06-20 10:03
突发，几个好消息，继续上涨有希望了，原因马上讲,06-19 04:11
保卫3000点,06-20 10:03
半小时不到，一百亿流出，活久见！,06-20 10:03
主力牛逼，阴跌一个月了,06-20 10:03
哈哈保卫3000[大笑],06-20 10:03
再跌300,06-20 10:03
2700的时候我的票是8块多，现在我的票6块了……我的票业绩也很好呀，市值100,06-20 10:03
不错[看空]，大A冲击3000点正在进行中。,06-20 10:03
又一个黑周四,06-20 10:03
哦豁了。下来吧。,06-20 10:03
调整方法进一步深化改革，结构性牛市和结构式熊市将并存。而处于熊市的筹码会占95%,06-20 10:03
开盘快速拉一把，然后出货，机构量化互相厮杀，看谁跑的快,06-20 10:03
创新低了,06-20 10:03
3000点保卫战马上开始[赚大了][赚大了][赚大了],06-20 10:03
赶紧破3000点吧，求求了，别磨矶了！！！,06-20 10:02
大家参与保卫战。。。。,06-20 10:02
远离股市，珍爱家人和生命。,06-20 10:02
买002598啊,06-20 10:02
破三千，未来可期[愉快],06-20 10:02
中金公司为何不买？#沪指屡屡迫近3000点，到底会不会破？#,06-20 10:02
怎么还没破3000点啊？太差劲了吧,06-20 10:02
别装了，快下来吧,06-20 10:02
3000点保卫战又要开始了！,06-20 10:02
一切向好，稳定,06-20 10:02
破新低不放量反弹，还是起不来,06-20 10:02
五穷六绝果然应验，不知七翻身是否实现,06-20 10:02
小心了。今天也许要大绿,06-20 10:02
牛年来了[捂脸],06-20 10:02
吓人啊，2650怕是挡不住了，投资者惨了,06-20 10:02
牛年来了[捂脸],06-20 10:02
吓人啊，2650怕是挡不住了，投资者惨了,06-20 10:02
又要3000点保卫战了,06-20 10:01
5000家上市公司。总量资金就这么多。3200点已经是极限。没有增量资金。散户不,06-20 10:01
出新低，别抄底。,06-20 10:01
神秘力量马上来了,06-20 10:01
赶紧跑，又是四千支大跌的一天,06-20 10:01
又要破3000了,06-20 10:01
马上就到三千，大家不要抄底,06-20 10:01
