context,date_time
「有奖活动」“科八条”涉及新股发行、并购重组、股权激励、交易等多个方面，引爆今日,06-20 02:31
指数拉红了看其他的会跟着红吗？,06-20 02:48
内卷，是杀敌八百自损八百；不是双赢是全输。,06-20 08:59
刚刚！半导体逆势大涨！原因找到了！,06-20 11:01
A股突发大跌，不对劲，真的不太对劲！明天或将迎来狂风暴雨？,06-19 02:42
差一个多点破了得了[笑哭],06-20 02:48
怎么不敢破啊,06-20 02:48
回本了我也销户,06-20 02:48
神秘力量拉着三千点，看明天还能不能保,06-20 02:48
赶紧抄底,06-20 02:48
收盘必红，信不信！,06-20 02:48
大盘明天一定破3000点,06-20 02:48
不跌都是奢求了，想买到的票是上涨的更是妄想,06-20 02:48
多少次3千点保卫战了,06-20 02:48
破三千吧别骗人了,06-20 02:48
拉石油银行有屁用，拉中证二千才行,06-20 02:48
没有放量击破，还得浪费时间在这边磨了，等下周破？,06-20 02:48
有时候觉得不会破3000，但血淋淋的教训就是2600。很纠结,06-20 02:48
散户买，机构卖的时候拉大盘才是对散户负责,06-20 02:48
胡今天应加仓到200万，机不可失,06-20 02:48
不负责#高盛发声：中国市场已现复苏信号#,06-20 02:48
股指期货做多拉升,06-20 02:48
这3000点。守的好辛苦啊[捂脸][捂脸][捂脸],06-20 02:47
3000点保卫战又开始了。,06-20 02:47
到底，调整的差不多了,06-20 02:47
金叉向上了,06-20 02:47
估计还要长期慢慢下跌,06-20 02:47
这个位置反复收割，破了得了。,06-20 02:47
1.77吊胃口,06-20 02:47
五六月份，资金都是净流出，玩啥呢,06-20 02:47
$上证指数(SH000001)$,06-20 02:47
同意跌破3000点的举手,06-20 02:47
上涨的基本都是亏损股，这是怎么做到的,06-20 02:47
刚才放量下杀了一波！但是还是不够大、杀的不狠！没看到吗？大盘现在贱的狠是不见新低,06-20 02:46
牛回，速归[赞],06-20 02:46
收盘专家又该得瑟了，大盘终于守住了3000点，哈哈哈,06-20 02:46
价值投资[大笑][大笑][大笑],06-20 02:46
天天拉煤炭石油银行有用吗？大部分都是负增长,06-20 02:46
明日破3000，又割了 一大批 菜心,06-20 02:46
以为前年是最差的一年，没想到去年更差；以为去年已经够差了，今年看样子才最差,06-20 02:46
期指交割日可不是闹着玩的，妥妥的做空！,06-20 02:46
一个月了，6，个股应该现在在2000点了,06-20 02:46
已经是2500点了，撑起指数有啥用，还不如一跌到底[呲牙],06-20 02:46
关键时候还是中字头给力。,06-20 02:46
下周也不能涨。,06-20 02:46
大盘破不破三千点都挡不住你的股票往下跌，老纠结三千点的问题有意义嘛！#沪指屡屡迫,06-20 02:05
明天股指期货结算，下周etf结算，玩法真多啊,06-20 02:46
这么死守着三千天又有什么意义呢,06-20 02:46
3001.77三千要起起？[滴汗],06-20 02:46
6.20午评|半导体昨日弱转强，今天继续强者恒强,06-20 12:52
根据《证券法》规定，禁止编造、传播虚假信息或者误导性信息，扰乱证券市场；2.用户,06-20 02:46
玛，内资流出300多亿啊,06-20 02:46
你们希望长线资金，然后自己天天跑，你们所谓的长线资金，就是散户的钱，然后套个几百,06-20 02:46
趋势坏了#沪指屡屡迫近3000点，到底会不会破？#,06-20 02:46
亏钱的生意为何还要做,06-20 02:45
今天没破3000点，有意思吗，最晚星期一就到2980点。,06-20 02:45
买套机会来了……,06-20 02:45
卖不完根本卖不完[叹气],06-20 02:45
梦里啥都有,06-20 02:45
北向资金流出67亿,06-20 02:45
说明了什么？,06-20 02:45
最后3分钟，直接把上证和创业板拉红,06-20 02:45
不是啊，3000到底是什么梗啊,06-20 02:45
Ai股,06-20 02:45
留个内裤！3001,06-20 02:45
这个市扬，真是太乱了，股民们不要找赚钱的捷径。上当的都是想找便宜的。,06-20 02:45
明天一个低开破三千,06-20 02:45
3000点保卫战打了4年了,06-20 02:45
调仓成功！芯片逆势上涨，接下来怎么做？,06-20 11:33
3000是不可能破了，我今天全仓买入,06-20 02:45
死撑有意义吗？及时今天不破，明天开盘就得破,06-20 02:45
这次3000点破了，真要走了…,06-20 02:45
清了，你们玩,06-20 02:45
阴跌了整整一个月了,06-20 02:45
2950,06-20 02:45
有多少钱都亏的掉,06-20 02:45
坚守3000点[抱拳][抱拳][抱拳]#沪指屡屡迫近3000点，到底会不会破？#,06-20 02:45
$上证指数(SH000001)$,06-20 02:44
这不是量化又是什么？严查还小散一个公平的环境,06-20 02:44
不管大票小票，只要上涨的就是好票,06-20 02:44
继续砸。下周五看能止跌不。,06-20 02:17
破三千吧，,06-20 02:44
割干净了，不敢玩了。亏掉两百万,06-20 02:44
啦啦啦啦啦啦啦啦啦,06-20 02:44
目前大盘不止跌，就说明机构有意让大盘跌破3000,06-20 02:44
让它做空只要不接盘，它也是有价无市，。亏着出去,06-20 02:44
3000点保卫战，哈哈哈哈哈，这股票不炒也罢,06-20 02:44
破了。,06-20 02:44
股指交割日，为什么指数都是跌的。,06-20 02:44
我的自选股，他们是怎么做到的全绿。,06-20 02:03
走这熊样[大笑][大笑],06-20 02:43
今天的A股，让人看了脸色苍白，你们知道是为什么吗？,06-20 02:43
明天最好破3000点,06-20 02:43
破3000破3000,06-20 02:43
今天或者明天破3000点。,06-20 02:43
几个点而已破了吧,06-20 02:43
多年3000为核心，不跑偏，牢记使命,06-20 02:43
，早点破了，天天看着心烦#沪指屡屡迫近3000点，到底会不会破？#,06-20 02:43
关闭程序化做空吧，引入资金，不然再多的资金进来都是送人头！,06-20 02:43
真牛逼真牛逼,06-20 02:43
安徽南部特大暴雨，大家注意安全。,06-20 02:43
