context,date_time
【社区攻略】与股友同行，发现牛人，寻找机会,06-26 09:53
太平静了，事出反常必有妖。。。。。,06-27 10:22
胡锡进，TA的光辉照我心！,06-27 07:15
策略：终于止跌，不等了，今天继续加仓抄底这个方向,06-26 02:49
[捂脸][捂脸]我感觉会破2900，有认同的吗？,06-27 10:39
3333一看就知道不是底部,06-27 10:57
白酒会再跌90%吗？我不信！,06-27 09:56
A股大涨的背后：隐藏的信号你看懂了吗？,06-26 11:33
昨天拉升是为了今天发套吗？,06-27 10:57
空头为什么这么强？,06-27 10:51
不要想着搞短线了，到处割肉本金只会越来越少。,06-27 11:00
放弃一切幻想！A股都是一日游！,06-27 10:16
2600以止住了,06-27 10:57
阳不起来了,06-27 11:00
黎明前的黑暗，坚持！！！,06-26 01:03
MD，昨天全仓进的，今天亏了4个点,06-27 10:57
不要做空了行不行，大家一起赚钱不好吗？苦叉子都亏没了！[哭][哭][哭],06-27 10:55
大盘走向很重要，今天必须红盘！,06-27 10:50
估计牛市才开始,06-27 10:51
今天依然会大涨，立帖为证,06-27 08:39
预判准确！,06-27 08:46
把昨天抄底的也埋了,06-27 11:00
A股4000家下跌，老胡：要把股民利益放在第一位,06-27 10:09
每周来一次大涨来吸引长期资金参与，股市一定会有所回升的，哈哈哈,06-27 10:59
凯华我回来了,06-27 10:42
这个位置反复割,06-27 10:59
国家队已经坐视不管,06-27 10:59
胡锡进：实话实说炒股有点上瘾了，我将与广大股民一起承受！,06-27 10:15
小盘股有什么罪？,06-27 10:32
a股,06-27 10:59
券商没有最低只有更低，今天全部跌停。,06-27 10:59
做空只能用自己持有的票卖出才可以，不能借票卖出。,06-27 10:55
昨天赚的，今天全部双倍吐回。呵呵,06-27 10:59
昨天“无量上涨+国家队未出手”，决定了今天必定站上3000点！,06-27 07:35
2952下方关注即可，目前二次回踩确认。,06-27 10:59
探底会不会成立！不管那么多。总之，不交易。,06-27 10:59
国家队三天买了几百亿，昨天不出手反而稳住了？谁在发力？,06-27 06:09
这辈子最大的错误就是进入股票市场,06-26 04:23
请为民做主,06-27 10:59
今天两市交易额不会超6000亿，甚至更低……,06-27 10:59
无增量资金进场，震荡调整没办法的，4000只以上下跌也是不应该啊，谁还在割肉？,06-27 10:59
2875点,06-27 10:59
快跑，明天周四跌更多，这波至少2850,06-27 10:53
[护城河][护城河][护城河]st涨停大户昨天买的是st易购，今日st涨停大户又,06-27 10:50
康希通信，26号二次启动前言！,06-26 07:35
周线7阴真经了。离九阴还差2,06-27 10:55
食品、商业连锁  医药等消费，被连续砸，物极必反，砸的有多狠，后期爆发力就有多猛,06-24 10:11
就现在的走势，我是不是跟你们强调好几天了？能走就走。#沪指跌破3000点，A股何,06-27 10:58
随便怎么跌 就是不操作,06-27 10:56
怎一个惨字了得,06-27 10:58
别跌了啊，哥,06-27 10:58
大盘又在恶心人了[惊讶],06-27 10:58
要不行就停市吧整理好在开看着都烦,06-27 10:58
下午看国家队了！,06-27 10:58
国家队出手吧～赶紧,06-27 10:58
外资不停的抛，能理解。但是内资每天都在不计成本的抛，这算什么,06-27 10:26
要么小散户也可以做空，否则是不公平的市场#但斌：量化停了流动性会急剧萎缩#,06-27 10:58
低开低走，做空的又是欢乐的一天。,06-27 10:58
中证白酒基金经理侯昊，你出来给个合理的解释，持有几年了这就是你说的长期持有，忽悠,06-27 10:58
抄底3成仓,06-27 10:58
最尾盘放出的不靠谱的笑道消息，如果有人信，估计都会今早急着进，结果又中埋伏接盘了,06-27 10:58
今天已经达到3300亿成交额了[偷笑][偷笑][偷笑],06-27 10:58
人脑和电脑玩？#但斌：量化停了流动性会急剧萎缩#,06-27 10:58
4月就销户了，真开心呀,06-27 10:58
